,id,mean_dist_day,mean_over_speed_perc,clusters
0,2,71.24,28,1
1,3,52.53,25,1
2,4,64.54,27,1
3,5,55.69,22,1
4,6,54.58,25,1
5,7,41.91,10,1
6,8,58.64,20,1
7,9,52.02,8,1
8,10,31.25,34,1
9,11,44.31,19,1
10,12,49.35,40,1
11,13,58.07,45,1
12,14,44.22,22,1
13,15,55.73,19,1
14,16,46.63,43,1
15,17,52.97,32,1
16,18,46.25,35,1
17,19,51.55,27,1
18,20,57.05,26,1
19,21,58.45,30,1
20,22,43.42,23,1
21,23,55.68,37,1
22,24,55.15,18,1
23,25,43.84,22,1
24,26,59.26,32,1
25,27,37.14,41,2
26,28,64.3,29,1
27,29,45.75,16,1
28,30,45.97,23,2
29,31,56.04,39,2
30,32,33.64,45,2
31,33,41.67,33,2
32,34,50.68,39,2
33,35,54.22,35,2
34,36,56.2,29,2
35,37,46.16,41,2
36,38,50.22,24,2
37,39,49.66,33,2
38,40,38.61,37,2
39,41,55.28,36,2
40,42,57.87,41,2
41,43,61.69,12,2
42,44,37.41,21,2
43,45,53.83,32,2
44,46,62.98,22,2
45,47,46.97,13,2
46,48,58.03,24,2
47,49,59.87,36,2
48,50,81.34,31,0
49,51,48.56,26,2
50,52,17.66,23,2
51,53,46.01,21,2
52,54,45.34,26,2
53,55,39.64,31,2
54,56,51.22,36,0
55,57,36.21,31,2
56,58,47.32,55,0
57,59,54.87,27,0
58,60,58.97,6,0
59,61,57.3,42,0
60,62,59.94,32,0
61,63,61.72,25,0
62,64,53.19,23,0
63,65,35.13,38,0
64,66,48.47,20,0
65,67,51.17,43,0
66,68,42.14,39,0
67,69,54.31,35,0
68,70,48.93,32,0
69,71,53.51,44,0
70,72,51.72,24,0
71,73,49.86,10,0
72,74,49.2,41,0
73,75,60.2,39,0
74,76,54.06,20,0
75,77,72.91,30,0
76,78,61.92,40,0
77,79,44.2,24,0
78,80,60.75,39,0
